United States | 101,643,986 |1,112,055 | North America
India | 44,676,691 |530,663 | Asia
France | 38,745,523 |160,228 | Europe
Germany | 36,905,873 |159,594 | Europe
Brazil | 35,761,481 |691,435 | South America
South Korea | 27,995,726 |31,232 | Asia
Japan (+Diamond Princess) | 26,668,963 |52,577 | Asia
Italy | 24,709,404 |182,419 | Europe
United Kingdom | 24,053,576 |197,723 | Europe
Russia | 21,692,870 |392,832 | Europe
Turkey | 17,042,722 |101,492 | Asia
Spain | 13,632,635 |116,422 | Europe
Vietnam | 11,522,097 |43,179 | Asia
Australia | 10,874,967 |16,512 | Australia/Oceania
Argentina | 9,766,975 |130,041 | South America
Netherlands | 8,553,219 |22,939 | Europe
Taiwan | 8,531,911 |14,796 | Asia
Iran | 7,560,294 |144,658 | Asia
Mexico | 7,169,653 |330,729 | North America
Indonesia | 6,706,053 |160,335 | Asia
Poland | 6,360,240 |118,412 | Europe
Colombia | 6,323,357 |141,943 | South America
Austria | 5,629,173 |21,286 | Europe
Portugal | 5,551,364 |25,643 | Europe
Greece | 5,448,700 |34,482 | Europe
Ukraine | 5,350,380 |110,696 | Europe
Malaysia | 5,014,885 |36,787 | Asia
Chile | 4,971,853 |62,795 | South America
North Korea | 4,772,813 |74 | Asia
Israel | 4,745,178 |11,954 | Asia
Thailand | 4,715,489 |33,392 | Asia
Belgium | 4,654,473 |33,133 | Europe
Czech Republic (Czechia) | 4,571,136 |41,991 | Europe
Canada | 4,440,839 |48,353 | North America
Peru | 4,376,905 |217,704 | South America
Switzerland | 4,351,857 |14,353 | Europe
Philippines | 4,052,967 |64,968 | Asia
South Africa | 4,046,150 |102,568 | Africa
Romania | 3,301,662 |67,310 | Europe
Denmark | 3,155,856 |7,620 | Europe
Sweden | 2,651,702 |21,332 | Europe
Iraq | 2,464,375 |25,366 | Asia
Serbia | 2,432,914 |17,451 | Europe
Hong Kong | 2,307,397 |11,075 | Asia
Singapore | 2,186,214 |1,709 | Asia
Hungary | 2,176,249 |48,380 | Europe
Bangladesh | 2,036,881 |29,437 | Asia
New Zealand | 2,019,685 |3,371 | Australia/Oceania
Slovakia | 1,857,686 |20,776 | Europe
Georgia | 1,808,085 |16,895 | Asia
Jordan | 1,746,997 |14,122 | Asia
Ireland | 1,680,548 |8,159 | Europe
Pakistan | 1,575,532 |30,635 | Asia
Norway | 1,471,598 |4,498 | Europe
Finland | 1,428,446 |7,783 | Europe
Kazakhstan | 1,399,479 |13,694 | Asia
Bulgaria | 1,289,685 |38,076 | Europe
Slovenia | 1,283,998 |6,964 | Europe
Lithuania | 1,281,955 |9,450 | Europe
Morocco | 1,270,588 |16,291 | Africa
Croatia | 1,258,420 |17,435 | Europe
Lebanon | 1,221,370 |10,742 | Asia
Guatemala | 1,177,088 |19,969 | North America
Costa Rica | 1,152,466 |9,051 | North America
Tunisia | 1,147,282 |29,272 | Africa
Bolivia | 1,122,783 |22,253 | South America
Cuba | 1,111,594 |8,530 | North America
United Arab Emirates | 1,045,895 |2,348 | Asia
Ecuador | 1,024,914 |35,940 | South America
Panama | 1,015,970 |8,543 | North America
Mongolia | 1,006,929 |2,179 | Asia
Nepal | 1,000,945 |12,019 | Asia
Uruguay | 998,047 |7,548 | South America
Belarus | 994,037 |7,118 | Europe
Latvia | 969,930 |6,117 | Europe
Saudi Arabia | 826,410 |9,491 | Asia
Azerbaijan | 825,150 |9,989 | Asia
Paraguay | 778,895 |19,646 | South America
Bahrain | 697,697 |1,538 | Asia
Sri Lanka | 671,793 |16,812 | Asia
Kuwait | 662,747 |2,570 | Asia
Dominican Republic | 650,990 |4,384 | North America
Myanmar | 633,521 |19,488 | Asia
Cyprus | 622,101 |1,242 | Asia
State of Palestine | 620,816 |5,404 | Asia
Estonia | 610,393 |2,814 | Europe
Moldova | 595,745 |11,922 | Europe
Venezuela | 548,570 |5,830 | South America
Egypt | 515,645 |24,613 | Africa
Libya | 507,112 |6,437 | Africa
Ethiopia | 495,747 |7,572 | Africa
Qatar | 485,440 |685 | Asia
Réunion | 478,671 |905 | Africa
Honduras | 460,714 |11,054 | North America
Armenia | 445,881 |8,712 | Asia
Bosnia and Herzegovina | 400,754 |16,217 | Europe
Oman | 399,119 |4,260 | Asia
China | 371,918 |5,235 | Asia
North Macedonia | 345,197 |9,599 | Europe
Kenya | 342,248 |5,684 | Africa
Zambia | 333,746 |4,019 | Africa
Albania | 333,613 |3,593 | Europe
Botswana | 327,061 |2,793 | Africa
Luxembourg | 297,757 |1,133 | Europe
Montenegro | 284,258 |2,790 | Europe
Algeria | 271,156 |6,881 | Africa
Nigeria | 266,381 |3,155 | Africa
Brunei  | 261,440 |225 | Asia
Zimbabwe | 259,356 |5,622 | Africa
Uzbekistan | 248,369 |1,637 | Asia
Mozambique | 230,816 |2,229 | Africa
Martinique | 224,826 |1,076 | North America
Laos | 217,332 |758 | Asia
Iceland | 207,771 |229 | Europe
Afghanistan | 206,879 |7,843 | Asia
Kyrgyzstan | 206,553 |2,991 | Asia
El Salvador | 201,785 |4,230 | North America
Guadeloupe | 198,608 |997 | North America
Trinidad and Tobago | 185,708 |4,271 | North America
Maldives | 185,651 |311 | Asia
Ghana | 171,023 |1,461 | Africa
Namibia | 169,946 |4,080 | Africa
Uganda | 169,810 |3,630 | Africa
Jamaica | 152,517 |3,399 | North America
Cambodia | 138,347 |3,056 | Asia
Rwanda | 132,811 |1,467 | Africa
Cameroon | 123,993 |1,965 | Africa
Malta | 116,059 |811 | Europe
Angola | 104,946 |1,928 | Africa
Barbados | 104,944 |568 | North America
French Guiana | 97,097 |411 | South America
Channel Islands | 97,044 |208 | Europe
DR Congo | 94,714 |1,457 | Africa
Senegal | 88,891 |1,968 | Africa
Malawi | 88,220 |2,685 | Africa
Côte d'Ivoire | 87,902 |830 | Africa
Suriname | 81,581 |1,393 | South America
New Caledonia | 78,244 |314 | Australia/Oceania
French Polynesia | 77,704 |649 | Australia/Oceania
Eswatini | 73,962 |1,422 | Africa
Guyana | 71,757 |1,285 | South America
Belize | 69,376 |688 | North America
Fiji | 68,451 |878 | Australia/Oceania
Madagascar | 67,621 |1,414 | Africa
Sudan | 63,663 |4,992 | Africa
Mauritania | 63,425 |997 | Africa
Cabo Verde | 63,150 |412 | Africa
Bhutan | 62,521 |21 | Asia
Syria | 57,422 |3,163 | Asia
Burundi | 51,018 |38 | Africa
Seychelles | 50,355 |172 | Africa
Gabon | 48,973 |306 | Africa
Andorra | 47,606 |158 | Europe
Papua New Guinea | 46,457 |669 | Australia/Oceania
Curaçao | 45,986 |295 | North America
Aruba | 43,693 |236 | North America
Mayotte | 41,853 |187 | Africa
Mauritius | 41,272 |1,036 | Africa
Tanzania | 40,806 |845 | Africa
Togo | 39,339 |290 | Africa
Guinea | 38,191 |465 | Africa
Isle of Man | 38,008 |116 | Europe
Bahamas | 37,491 |833 | North America
Faeroe Islands | 34,658 |28 | Europe
Lesotho | 34,490 |706 | Africa
Haiti | 33,874 |860 | North America
Mali | 32,764 |743 | Africa
Cayman Islands | 31,359 |36 | North America
Saint Lucia | 29,550 |404 | North America
Benin | 27,980 |163 | Africa
Somalia | 27,300 |1,361 | Africa
Congo | 25,375 |386 | Africa
Solomon Islands | 24,575 |153 | Australia/Oceania
Timor-Leste | 23,376 |138 | Asia
San Marino | 22,615 |120 | Europe
Micronesia | 22,203 |55 | Australia/Oceania
Burkina Faso | 21,631 |387 | Africa
Liechtenstein | 21,124 |88 | Europe
Gibraltar | 20,207 |110 | Europe
Grenada | 19,613 |237 | North America
Bermuda | 18,519 |152 | North America
Nicaragua | 18,491 |225 | North America
South Sudan | 18,368 |138 | Africa
Tajikistan | 17,786 |125 | Asia
Equatorial Guinea | 17,186 |183 | Africa
Tonga | 16,182 |12 | Australia/Oceania
Samoa | 15,967 |29 | Australia/Oceania
Monaco | 15,816 |63 | Europe
Dominica | 15,760 |74 | North America
Djibouti | 15,690 |189 | Africa
Marshall Islands | 15,547 |17 | Australia/Oceania
Central African Republic | 15,311 |113 | Africa
Gambia | 12,586 |372 | Africa
Saint Martin | 12,104 |63 | North America
Greenland | 11,971 |21 | North America
Vanuatu | 11,952 |14 | Australia/Oceania
